Station1,Station2,Station3,Station4,Station5,Station6,Station7,Station8,Station9,Station10,Station11,Station12,Station13,Station14,Station15,Station16,Station17,Station18,Station19,Station20,Station21,Station22,Station23,Station24,Station25,Station26,Station27,Station28,Station29,Station30,Station32
13.66666667,14.5,15.16666667,12.33333333,10.83333333,13.33333333,13.16666667,11,10.66666667,11.66666667,12.83333333,13.83333333,16,12.5,11.5,17.5,16.66666667,13.83333333,13.83333333,11.16666667,12.83333333,13.16666667,13.83333333,12.16666667,10.5,15.33333333,13.66666667,12.33333333,14.66666667,11.5,9.833333333
9.666666667,10.16666667,11.66666667,10.83333333,10.33333333,9.833333333,9,8.333333333,8.666666667,7.833333333,11.66666667,11.83333333,10.5,11.16666667,8.833333333,12.5,10.66666667,11,9.5,8.666666667,10.66666667,11.5,9.5,8.666666667,7.2,9.833333333,9.5,7.666666667,9.5,8.5,8.5
7.333333333,9,9.666666667,8.166666667,6.666666667,7,9,8,6.5,7.333333333,10,11.33333333,10.16666667,11.33333333,6.833333333,7.333333333,7.333333333,10,8,6.833333333,6.833333333,9.833333333,8.666666667,7,7.5,9.5,7.333333333,7.166666667,8.666666667,7,7.666666667
7.5,9.333333333,9.833333333,8.333333333,6.666666667,8.833333333,8,6.833333333,6.333333333,6.333333333,7.5,8.333333333,8.5,9.666666667,6.5,9.166666667,7.833333333,8.833333333,6.833333333,8.666666667,7,7,8.166666667,7,7.5,7.666666667,7.5,7.333333333,7.5,7.5,6.5
8,10.66666667,11.5,8.333333333,9.5,9.166666667,9.833333333,8.333333333,8.333333333,8,9.166666667,7.833333333,10.16666667,9.5,8.166666667,9.333333333,9.166666667,10,10.33333333,9.833333333,8.666666667,11.33333333,10,8.833333333,8,8.666666667,9.5,8.666666667,12,7.333333333,8.166666667
9,10.33333333,11.5,9.333333333,9.666666667,10.16666667,9.833333333,7.833333333,8.833333333,8.5,10.66666667,11,10,10.16666667,8.166666667,13.33333333,10.83333333,9.333333333,10.66666667,10.5,7.833333333,11.5,9.333333333,9.333333333,7,10.83333333,9.666666667,7.333333333,13.5,7.333333333,8.666666667
8.833333333,12.5,9.166666667,11,8.833333333,8.666666667,9.166666667,9.166666667,8.5,8.833333333,9.8,10.83333333,10.16666667,10,8.666666667,12.66666667,11.16666667,10.83333333,11,11.16666667,10.66666667,9.333333333,10.33333333,9.5,7.833333333,12.66666667,10.66666667,9.166666667,10.16666667,7.666666667,8.5
8.5,11.5,11.33333333,10.66666667,7.333333333,9.166666667,9.5,8,8.5,8.166666667,9.833333333,12.5,11,11.83333333,9.166666667,14.16666667,11.83333333,10.33333333,10,10.66666667,9.833333333,9.833333333,11.5,10.66666667,7.833333333,12.5,10,6.833333333,10.5,9.166666667,9.666666667
9.5,11.33333333,12.66666667,8.5,8.166666667,10.33333333,8.833333333,7.666666667,8.333333333,8.833333333,10.33333333,12.5,8.166666667,12.33333333,9.333333333,11.5,12.16666667,9,10,9.833333333,9.5,10.16666667,9.166666667,9.5,9,12,10.33333333,8,8.833333333,8.833333333,9.6
9.166666667,10.66666667,12.33333333,10.66666667,8.5,9.666666667,9.166666667,8,9.333333333,8.666666667,9.5,10.33333333,11,13,10.16666667,13.5,12.16666667,9.333333333,10.83333333,8,10,10.5,10.33333333,9.333333333,10.16666667,12,9.833333333,7.833333333,10.33333333,8.666666667,9.666666667
9.666666667,11.66666667,13.16666667,10.83333333,9.166666667,9.5,10.33333333,8.5,8.833333333,10,10.33333333,11.33333333,10.83333333,11.33333333,10,11,10.66666667,11.33333333,9.833333333,9.333333333,10.66666667,10.83333333,11,9.166666667,6.666666667,12.5,11,8.833333333,12,10.33333333,8.833333333
10.16666667,13.16666667,16.5,10.33333333,10.5,12.33333333,9.666666667,9.833333333,10.5,9.166666667,10.83333333,11.83333333,12.33333333,12.83333333,10.83333333,15,10.5,11.83333333,12.33333333,9.833333333,9.5,11.66666667,11,9.333333333,8.5,14.16666667,9.666666667,9.333333333,12.16666667,10.66666667,9
14,15.66666667,19.16666667,13.66666667,12,12.16666667,11,9.166666667,10,12.83333333,11.66666667,12.83333333,12,12.83333333,11.16666667,15.33333333,13.83333333,13.33333333,11.33333333,12.83333333,12.66666667,12.33333333,14,13,12.5,15.5,11.33333333,10.66666667,12,10.5,10.66666667
13.16666667,11.5,16.33333333,13.16666667,8.5,11.5,11.66666667,10.66666667,9.666666667,10.66666667,11.33333333,13.33333333,10.33333333,12.83333333,10.16666667,15.16666667,12,11.66666667,11.66666667,11.66666667,11.33333333,13.16666667,10.66666667,11,10,14.83333333,11.83333333,10.5,11.83333333,10.83333333,10
